Name,Latitude,Longitude
UCTD001,32.740223,-117.321547
UCTD002,32.62911,-117.808117
UCTD003,32.328175,-118.170095
UCTD004,32.616946,-117.997114
UCTD005,32.843448,-117.530749
UCTD006,33.093659,-117.39335
UCTD007,32.869139,-117.857778
UCTD008,32.643527,-118.324302
UCTD009,32.904101,-118.180016
UCTD010,33.130507,-117.712881
UCTD011,33.337105,-117.663862
UCTD012,33.155394,-118.040075
UCTD013,32.961608,-118.440946
UCTD014,33.012854,-118.734211
UCTD015,33.203569,-118.339814
UCTD016,33.394071,-117.944236
UCTD017,33.177363,-118.78094
UCTD018,33.41285,-118.306125
UCTD019,33.565756,-117.988739
UCTD020,33.591691,-118.324618
UCTD021,33.408761,-118.702509
UCTD022,33.216187,-119.100993
UCTD023,33.274872,-119.388815
UCTD024,33.454961,-119.014787
UCTD025,33.65238,-118.604594
UCTD026,33.897239,-118.502267
UCTD027,33.70576,-118.901447
UCTD028,33.51889,-119.290797
UCTD029,33.539995,-119.659168
UCTD030,33.75721,-119.207497
UCTD031,33.943659,-118.819421
UCTD032,34.038817,-119.03098
UCTD033,33.80251,-119.524006
UCTD034,33.583252,-119.980047
UCTD035,33.635758,-120.262816
UCTD036,33.831529,-119.855295
UCTD037,34.025108,-119.450683
UCTD038,34.225632,-119.430319
UCTD039,34.083381,-119.727884
UCTD040,33.861611,-120.187785
UCTD041,33.900004,-120.497712
UCTD042,34.118656,-120.040464
UCTD043,34.290516,-119.680902
UCTD044,34.332111,-119.983203
UCTD045,34.134847,-120.396846
UCTD046,33.924263,-120.837602
UCTD047,33.973023,-121.134371
UCTD048,34.190829,-120.678559
UCTD049,34.411968,-120.215215
UCTD050,34.449189,-120.525382
UCTD051,34.247067,-120.948638
UCTD052,34.315623,-121.229678
UCTD053,34.493201,-120.856956
UCTD054,34.739147,-120.713199
UCTD055,34.558384,-121.093548
UCTD056,34.605928,-121.385881
UCTD057,34.790591,-120.997615
UCTD058,34.901527,-120.763897
UCTD059,35.110701,-120.735176
UCTD060,34.904967,-121.171022
UCTD061,34.704156,-121.595136
UCTD062,34.94342,-121.510163
UCTD063,35.156493,-121.059456
UCTD064,35.381396,-120.966942
UCTD065,35.199386,-121.353715
UCTD066,35.020347,-121.733482
UCTD067,35.263262,-121.644482
UCTD068,35.427373,-121.295555
UCTD069,35.628474,-121.286578
UCTD070,35.494216,-121.572033
UCTD071,35.352689,-121.87244
UCTD072,35.560273,-121.818417
UCTD073,35.700024,-121.521208
UCTD074,35.892677,-121.530097
UCTD075,35.771816,-121.787831
UCTD076,35.642231,-122.063865
UCTD077,35.843428,-122.029949
UCTD078,35.978185,-121.741709
UCTD079,36.150292,-121.794204
UCTD080,36.047624,-122.014253
UCTD081,35.931918,-122.261717
UCTD082,36.108375,-122.279225
UCTD083,36.246038,-121.984341
UCTD084,36.443432,-121.980669
UCTD085,36.325376,-122.235096
UCTD086,36.194125,-122.516997
UCTD087,36.432572,-122.442128
UCTD088,36.563601,-122.159924
UCTD089,36.703785,-121.857673
UCTD090,36.866369,-121.918052
UCTD091,36.760332,-122.147598
UCTD092,36.652975,-122.37931
UCTD093,36.718328,-122.639283
UCTD094,36.841199,-122.373384
UCTD095,36.927445,-122.186489
